index_z,index_norm,index_norm_zlike,index_diff_z_minus_normz
1.0017769539396317,0.6290036349103643,1.6263146601548353,-0.6245377062152035
0.00018154600199993265,0.3913714006122898,0.0020371317414331273,-0.0018555857394331947
0.1060564152866435,0.3867982416436714,-0.029221587718620004,0.1352780030052635
-0.37492616794291633,0.2801465116737495,-0.758213632372227,0.3832874644293107
-0.3563369194422299,0.27469526514793696,-0.7954743064549041,0.43913738701267424
-0.284092535162219,0.29217486314721053,-0.6759967519060263,0.39190421674380727
0.2375273513345189,0.4265943381852213,0.2427949824320804,-0.0052676310975614815
-0.31233096196668975,0.30933238147867287,-0.5587206948447679,0.2463897328780782
-1.0333231950083133,0.13998517625028437,-1.7162524613771373,0.682929266368824
-1.1075768971726463,0.11933978762789217,-1.8573690102484077,0.7497921130757614
-0.5924527870495115,0.24023390943507053,-1.031026548971202,0.4385737619216905
-0.01594448335485027,0.3779304905030392,-0.08983495083342334,0.07389046747857307
0.0992533095563686,0.4491431384558023,0.3969218401808715,-0.29766853062450294
1.1732387887771625,0.7005590025583606,2.1154140285604353,-0.9421752397832728
0.4112404354260505,0.49331185179033565,0.6988263723674684,-0.2875859369414179
0.4960723125805001,0.5359279752269694,0.9901185527010052,-0.49404624012050513
1.5366011572811467,0.7810317556911017,2.665466023607177,-1.1288648663260303
1.407141646072545,0.7511663780588547,2.4613284750589823,-1.0541868289864373
0.22476985213735245,0.45295448058560095,0.4229733453262634,-0.19820349318891095
0.11785694748032988,0.43969497527038526,0.3323412112431079,-0.21448426376277802
0.41785316806002837,0.4986388782495822,0.7352379702997776,-0.3173848022397492
-0.005371881370972442,0.4316181916964348,0.2771343151762617,-0.28250619654723413
-0.22079811237048472,0.33942449089943605,-0.35303337612270963,0.1322352637522249
-0.03980059784551118,0.39404010210708584,0.020278393836386112,-0.060078991681897294
0.04580850536392393,0.40167639209343486,0.0724744027739476,-0.026665897410023662
0.02173072390653502,0.4020110002531718,0.0747615357308459,-0.05303081182431088
-0.03459318492746308,0.3579976439133061,-0.22608109138186297,0.1914879064543999
-0.1586472651605913,0.3133385822860767,-0.531337280448153,0.3726900152875617
0.43059811952049876,0.42088324064195565,0.20375815971522832,0.22683995980527044
-1.0238002027429571,0.14973442781158858,-1.6496138158387865,0.6258136130958294
-0.4249973747691482,0.3159566987485918,-0.513441780078038,0.0884444053088898
0.25871999614800734,0.45053271321579946,0.4064199415785242,-0.14769994543051684
0.04853046499296615,0.4072749428813497,0.1107419394292846,-0.062211474436318456
-0.3215616878126207,0.32145038204755233,-0.47589103972044533,0.15432935190782465
0.011973621939711465,0.41071823147004877,0.13427770382163046,-0.12230408188191899
0.5977730821244194,0.5292790169013335,0.9446712099716473,-0.34689812784722796
0.15966536219578625,0.4497103140603068,0.40079863152520334,-0.2411332693294171
0.09357655053163133,0.42461059751407015,0.22923560399224793,-0.1356590534606166
0.13823917366120214,0.36951303623113674,-0.14737041886739666,0.2856095925285988
0.39027160176477216,0.4933494938413663,0.699083665481734,-0.3088120637169618
0.8833700405712399,0.6141344469854996,1.5246799308284302,-0.6413098902571903
-0.32346489563882275,0.33427702667486253,-0.38821761993114495,0.0647527242923222
-0.331126511471524,0.3304114565298304,-0.4146397875281792,0.0835132760566552
0.000751762185847743,0.3968121291668043,0.039225912781172045,-0.0384741505953243
-0.4074902920006943,0.29977349623316213,-0.6240581375819771,0.21656784558128284
-1.1348421040295107,0.1115648794154544,-1.9105125104652123,0.7756704064357016
-0.5751592828070854,0.22230249401088276,-1.1535923919940805,0.5784331091869951
-0.7237684548182841,0.1962262998599192,-1.3318298954668923,0.6080614406486082
-0.5081730939757739,0.303938853152799,-0.595586850164375,0.08741375618860103
